step unbounded bounded
0 0.1550 0.1000
20 0.7019 0.4828
40 0.9971 0.6841
60 1.2587 0.8181
80 1.4864 0.8952
100 1.6680 0.9723
120 1.8119 1.0000
140 1.9701 1.0000
160 2.0653 1.0000
180 2.1521 1.0000
200 2.2643 1.0000
220 2.3985 1.0000
240 2.5101 0.9976
260 2.6671 1.0000
280 2.8030 0.9955
300 2.9360 0.9977
320 3.0218 1.0000
340 3.1842 1.0000
360 3.2690 1.0000
380 3.3726 0.9996
400 3.4893 1.0000
420 3.5817 1.0000
440 3.7115 1.0000
460 3.6724 1.0000
480 3.7493 1.0000
500 3.8174 1.0000
520 3.8904 1.0000
540 3.9339 1.0000
560 3.9584 1.0000
580 3.9911 1.0000
600 4.0516 1.0000
620 4.1564 0.9989
640 4.1399 1.0000
660 4.1889 1.0000
680 4.2243 1.0000
700 4.2961 0.9848
720 4.3451 1.0000
740 4.4104 0.9924
760 4.4330 0.9895
780 4.5006 1.0000
800 4.6209 1.0000
820 4.6799 1.0000
840 4.7028 1.0000
860 4.7991 0.9976
880 4.8027 1.0000
900 4.8853 0.9861
920 4.9914 1.0000
940 5.0409 0.9901
960 5.0588 1.0000
980 5.0476 1.0000
