# x unit_response displaced_response_per_kappa heated_response_per_kappa contrast_response_per_kappa
-2.000000000e+02 -5.000158725e-02 -1.000031745e+02 -8.546593404e+01 -1.453724045e+01
-1.998046875e+02 -5.000158710e-02 -1.000031742e+02 -8.546593379e+01 -1.453724040e+01
-1.996093750e+02 -5.000158722e-02 -1.000031744e+02 -8.546593400e+01 -1.453724044e+01
-1.994140625e+02 -5.000158705e-02 -1.000031741e+02 -8.546593371e+01 -1.453724039e+01
-1.992187500e+02 -5.000158716e-02 -1.000031743e+02 -8.546593390e+01 -1.453724042e+01
-1.990234375e+02 -5.000158698e-02 -1.000031740e+02 -8.546593359e+01 -1.453724037e+01
-1.988281250e+02 -5.000158708e-02 -1.000031742e+02 -8.546593376e+01 -1.453724040e+01
-1.986328125e+02 -5.000158690e-02 -1.000031738e+02 -8.546593345e+01 -1.453724035e+01
-1.984375000e+02 -5.000158699e-02 -1.000031740e+02 -8.546593361e+01 -1.453724037e+01
-1.982421875e+02 -5.000158681e-02 -1.000031736e+02 -8.546593330e+01 -1.453724032e+01
-1.980468750e+02 -5.000158690e-02 -1.000031738e+02 -8.546593345e+01 -1.453724035e+01
-1.978515625e+02 -5.000158671e-02 -1.000031734e+02 -8.546593313e+01 -1.453724029e+01
-1.976562500e+02 -5.000158680e-02 -1.000031736e+02 -8.546593328e+01 -1.453724032e+01
-1.974609375e+02 -5.000158661e-02 -1.000031732e+02 -8.546593296e+01 -1.453724026e+01
-1.972656250e+02 -5.000158670e-02 -1.000031734e+02 -8.546593311e+01 -1.453724029e+01
-1.970703125e+02 -5.000158650e-02 -1.000031730e+02 -8.546593278e+01 -1.453724023e+01
-1.968750000e+02 -5.000158659e-02 -1.000031732e+02 -8.546593292e+01 -1.453724026e+01
-1.966796875e+02 -5.000158639e-02 -1.000031728e+02 -8.546593259e+01 -1.453724020e+01
-1.964843750e+02 -5.000158648e-02 -1.000031730e+02 -8.546593273e+01 -1.453724022e+01
-1.962890625e+02 -5.000158628e-02 -1.000031726e+02 -8.546593239e+01 -1.453724017e+01
-1.960937500e+02 -5.000158636e-02 -1.000031727e+02 -8.546593253e+01 -1.453724019e+01
