# n_modes D_displaced D_heated delta_entropy contrast_fraction peak_contrast_response_per_kappa
1.000000000e+00 2.000000000e+03 1.992550037e+03 7.449962796e+00 3.724981398e-03 6.727086954e+00
2.000000000e+00 2.000000000e+03 1.986485057e+03 1.351494273e+01 6.757471363e-03 1.220357704e+01
3.000000000e+00 2.000000000e+03 1.980942016e+03 1.905798447e+01 9.528992234e-03 1.720877301e+01
4.000000000e+00 2.000000000e+03 1.975737463e+03 2.426253656e+01 1.213126828e-02 2.190832325e+01
5.000000000e+00 2.000000000e+03 1.970784276e+03 2.921572400e+01 1.460786200e-02 2.638089896e+01
6.000000000e+00 2.000000000e+03 1.966031138e+03 3.396886168e+01 1.698443084e-02 3.067283589e+01
7.000000000e+00 2.000000000e+03 1.961444144e+03 3.855585622e+01 1.927792811e-02 3.481475069e+01
8.000000000e+00 2.000000000e+03 1.956999194e+03 4.300080601e+01 2.150040301e-02 3.882840345e+01
9.000000000e+00 2.000000000e+03 1.952678271e+03 4.732172905e+01 2.366086452e-02 4.273006387e+01
1.000000000e+01 2.000000000e+03 1.948467390e+03 5.153261050e+01 2.576630525e-02 4.653236013e+01
1.100000000e+01 2.000000000e+03 1.944355378e+03 5.564462239e+01 2.782231120e-02 5.024538023e+01
1.300000000e+01 2.000000000e+03 1.936392966e+03 6.360703400e+01 3.180351700e-02 5.743519268e+01
1.400000000e+01 2.000000000e+03 1.932528534e+03 6.747146633e+01 3.373573316e-02 6.092465605e+01
1.600000000e+01 2.000000000e+03 1.925005490e+03 7.499450980e+01 3.749725490e-02 6.771773261e+01
1.800000000e+01 2.000000000e+03 1.917727947e+03 8.227205333e+01 4.113602666e-02 7.428913027e+01
2.000000000e+01 2.000000000e+03 1.910667942e+03 8.933205842e+01 4.466602921e-02 8.066409743e+01
2.200000000e+01 2.000000000e+03 1.903803140e+03 9.619686034e+01 4.809843017e-02 8.686280213e+01
2.500000000e+01 2.000000000e+03 1.893832870e+03 1.061671302e+02 5.308356509e-02 9.586564871e+01
2.800000000e+01 2.000000000e+03 1.884211989e+03 1.157880109e+02 5.789400546e-02 1.045530077e+02
3.200000000e+01 2.000000000e+03 1.871861740e+03 1.281382601e+02 6.406913006e-02 1.157049024e+02
3.500000000e+01 2.000000000e+03 1.862918027e+03 1.370819727e+02 6.854098635e-02 1.237807994e+02
4.000000000e+01 2.000000000e+03 1.848548576e+03 1.514514236e+02 7.572571179e-02 1.367559710e+02
4.500000000e+01 2.000000000e+03 1.834774412e+03 1.652255880e+02 8.261279398e-02 1.491936172e+02
5.000000000e+01 2.000000000e+03 1.821525776e+03 1.784742241e+02 8.923711207e-02 1.611567276e+02
5.600000000e+01 2.000000000e+03 1.806243442e+03 1.937565577e+02 9.687827887e-02 1.749562042e+02
6.300000000e+01 2.000000000e+03 1.789167513e+03 2.108324866e+02 1.054162433e-01 1.903752420e+02
7.100000000e+01 2.000000000e+03 1.770528437e+03 2.294715628e+02 1.147357814e-01 2.072057538e+02
7.900000000e+01 2.000000000e+03 1.752715130e+03 2.472848703e+02 1.236424352e-01 2.232906218e+02
8.900000000e+01 2.000000000e+03 1.731472569e+03 2.685274310e+02 1.342637155e-01 2.424719998e+02
1.000000000e+02 2.000000000e+03 1.709264420e+03 2.907355795e+02 1.453677898e-01 2.625252740e+02
1.120000000e+02 2.000000000e+03 1.686253724e+03 3.137462759e+02 1.568731380e-01 2.833032241e+02
1.260000000e+02 2.000000000e+03 1.660815901e+03 3.391840992e+02 1.695920496e-01 3.062727951e+02
1.410000000e+02 2.000000000e+03 1.635037910e+03 3.649620901e+02 1.824810450e-01 3.295495269e+02
1.580000000e+02 2.000000000e+03 1.607440862e+03 3.925591379e+02 1.962795689e-01 3.544688111e+02
1.780000000e+02 2.000000000e+03 1.576896864e+03 4.231031361e+02 2.115515681e-01 3.820491008e+02
2.000000000e+02 2.000000000e+03 1.545389120e+03 4.546108800e+02 2.273054400e-01 4.104996231e+02
2.240000000e+02 2.000000000e+03 1.513187729e+03 4.868122706e+02 2.434061353e-01 4.395764871e+02
2.510000000e+02 2.000000000e+03 1.479313225e+03 5.206867751e+02 2.603433875e-01 4.701641213e+02
2.820000000e+02 2.000000000e+03 1.443081171e+03 5.569188295e+02 2.784594147e-01 5.028805505e+02
3.160000000e+02 2.000000000e+03 1.406168247e+03 5.938317530e+02 2.969158765e-01 5.362117836e+02
3.550000000e+02 2.000000000e+03 1.366958540e+03 6.330414600e+02 3.165207300e-01 5.716169414e+02
3.980000000e+02 2.000000000e+03 1.327056596e+03 6.729434041e+02 3.364717020e-01 6.076471680e+02
4.470000000e+02 2.000000000e+03 1.285224665e+03 7.147753351e+02 3.573876675e-01 6.454201133e+02
5.010000000e+02 2.000000000e+03 1.242950285e+03 7.570497153e+02 3.785248577e-01 6.835925767e+02
5.620000000e+02 2.000000000e+03 1.199293155e+03 8.007068454e+02 4.003534227e-01 7.230136205e+02
6.310000000e+02 2.000000000e+03 1.154341589e+03 8.456584113e+02 4.228292056e-01 7.636035000e+02
7.080000000e+02 2.000000000e+03 1.108853415e+03 8.911465850e+02 4.455732925e-01 8.046779199e+02
7.940000000e+02 2.000000000e+03 1.062935759e+03 9.370642408e+02 4.685321204e-01 8.461401489e+02
8.910000000e+02 2.000000000e+03 1.016311551e+03 9.836884488e+02 4.918442244e-01 8.882403728e+02
1.000000000e+03 2.000000000e+03 9.693495546e+02 1.030650445e+03 5.153252227e-01 9.306456093e+02
