# log_a a N_sq rho_coh_frac w_coh
-6.000000e+01 8.756511e-27 0.000000e+00 0.000000e+00 -1.000000e+00
-5.993794e+01 9.317176e-27 6.204281e-02 1.000000e+00 4.369302e+00
-5.987588e+01 9.913740e-27 1.240471e-01 1.000000e+00 1.683818e+00
-5.981381e+01 1.054850e-26 1.860130e-01 1.000000e+00 7.886565e-01
-5.975175e+01 1.122390e-26 2.479404e-01 1.000000e+00 3.410760e-01
-5.968969e+01 1.194255e-26 3.098293e-01 1.000000e+00 7.252781e-02
-5.962763e+01 1.270721e-26 3.716799e-01 1.000000e+00 -1.065043e-01
-5.956557e+01 1.352084e-26 4.334921e-01 1.000000e+00 -2.343843e-01
-5.950350e+01 1.438655e-26 4.952660e-01 1.000000e+00 -3.302943e-01
-5.944144e+01 1.530770e-26 5.570015e-01 1.000000e+00 -4.048909e-01
-5.937938e+01 1.628783e-26 6.186987e-01 1.000000e+00 -4.645681e-01
-5.931732e+01 1.733071e-26 6.803577e-01 1.000000e+00 -5.133949e-01
-5.925526e+01 1.844037e-26 7.419784e-01 1.000000e+00 -5.540839e-01
-5.919319e+01 1.962108e-26 8.035609e-01 1.000000e+00 -5.885130e-01
-5.913113e+01 2.087738e-26 8.651051e-01 1.000000e+00 -6.180237e-01
-5.906907e+01 2.221413e-26 9.266112e-01 1.000000e+00 -6.435995e-01
-5.900701e+01 2.363646e-26 9.880791e-01 1.000000e+00 -6.659784e-01
-5.894494e+01 2.514987e-26 1.049509e+00 1.000000e+00 -6.857244e-01
-5.888288e+01 2.676017e-26 1.110901e+00 1.000000e+00 -7.032764e-01
-5.882082e+01 2.847358e-26 1.172254e+00 1.000000e+00 -7.189809e-01
-5.875876e+01 3.029670e-26 1.233570e+00 1.000000e+00 -7.331148e-01
-5.869670e+01 3.223655e-26 1.294847e+00 1.000000e+00 -7.459027e-01
-5.863463e+01 3.430060e-26 1.356087e+00 1.000000e+00 -7.575280e-01
-5.857257e+01 3.649681e-26 1.417288e+00 1.000000e+00 -7.681424e-01
-5.851051e+01 3.883364e-26 1.478451e+00 1.000000e+00 -7.778722e-01
