t E_base E_coherist
0.00 0.4988 0.4988
0.05 0.4975 0.4975
0.10 0.4963 0.4960
0.15 0.4952 0.4943
0.20 0.4940 0.4924
0.25 0.4930 0.4900
0.30 0.4920 0.4873
0.35 0.4911 0.4842
0.40 0.4903 0.4806
0.45 0.4896 0.4767
0.50 0.4890 0.4725
0.55 0.4885 0.4679
0.60 0.4882 0.4631
0.65 0.4879 0.4582
0.70 0.4878 0.4531
0.75 0.4878 0.4481
0.80 0.4880 0.4430
0.85 0.4882 0.4382
0.90 0.4886 0.4335
0.95 0.4891 0.4292
1.00 0.4897 0.4251
1.05 0.4904 0.4215
1.10 0.4912 0.4184
1.15 0.4921 0.4157
1.20 0.4931 0.4135
1.25 0.4941 0.4118
1.30 0.4953 0.4107
1.35 0.4964 0.4100
1.40 0.4976 0.4098
1.45 0.4989 0.4099
1.50 0.5001 0.4105
1.55 0.5014 0.4112
1.60 0.5026 0.4122
1.65 0.5038 0.4132
1.70 0.5050 0.4142
1.75 0.5061 0.4151
1.80 0.5072 0.4158
1.85 0.5082 0.4162
1.90 0.5091 0.4163
1.95 0.5100 0.4160
2.00 0.5107 0.4152
2.05 0.5114 0.4139
2.10 0.5119 0.4121
2.15 0.5123 0.4098
2.20 0.5126 0.4071
2.25 0.5128 0.4040
2.30 0.5128 0.4005
2.35 0.5127 0.3968
2.40 0.5125 0.3930
2.45 0.5122 0.3891
2.50 0.5118 0.3852
2.55 0.5112 0.3814
2.60 0.5105 0.3778
2.65 0.5098 0.3745
2.70 0.5089 0.3714
2.75 0.5080 0.3687
2.80 0.5069 0.3663
2.85 0.5058 0.3642
2.90 0.5047 0.3624
2.95 0.5035 0.3609
3.00 0.5023 0.3597
3.05 0.5010 0.3586
3.10 0.4998 0.3576
3.15 0.4985 0.3567
3.20 0.4973 0.3558
3.25 0.4961 0.3549
3.30 0.4950 0.3538
3.35 0.4939 0.3527
3.40 0.4928 0.3513
3.45 0.4919 0.3498
3.50 0.4910 0.3481
3.55 0.4902 0.3462
3.60 0.4895 0.3441
3.65 0.4889 0.3417
3.70 0.4885 0.3393
3.75 0.4881 0.3367
3.80 0.4879 0.3340
3.85 0.4878 0.3313
3.90 0.4878 0.3285
3.95 0.4880 0.3258
4.00 0.4883 0.3232
4.05 0.4887 0.3207
4.10 0.4892 0.3183
4.15 0.4898 0.3162
4.20 0.4905 0.3143
4.25 0.4913 0.3127
4.30 0.4923 0.3114
4.35 0.4933 0.3103
4.40 0.4943 0.3096
4.45 0.4955 0.3091
4.50 0.4966 0.3090
4.55 0.4978 0.3091
4.60 0.4991 0.3094
4.65 0.5003 0.3099
4.70 0.5016 0.3105
4.75 0.5028 0.3113
4.80 0.5040 0.3121
4.85 0.5052 0.3128
4.90 0.5063 0.3135
4.95 0.5074 0.3141
5.00 0.5084 0.3144
5.05 0.5093 0.3146
5.10 0.5101 0.3145
5.15 0.5108 0.3141
5.20 0.5115 0.3134
5.25 0.5120 0.3125
5.30 0.5124 0.3112
5.35 0.5126 0.3096
5.40 0.5128 0.3079
5.45 0.5128 0.3059
5.50 0.5127 0.3037
5.55 0.5125 0.3015
5.60 0.5121 0.2991
5.65 0.5117 0.2968
5.70 0.5111 0.2945
5.75 0.5104 0.2923
5.80 0.5096 0.2902
5.85 0.5087 0.2883
5.90 0.5078 0.2865
5.95 0.5067 0.2850
6.00 0.5056 0.2836
6.05 0.5045 0.2823
6.10 0.5033 0.2813
6.15 0.5021 0.2803
6.20 0.5008 0.2795
6.25 0.4996 0.2788
6.30 0.4983 0.2781
6.35 0.4971 0.2774
6.40 0.4959 0.2766
6.45 0.4948 0.2759
6.50 0.4937 0.2750
6.55 0.4926 0.2741
6.60 0.4917 0.2731
6.65 0.4908 0.2719
6.70 0.4901 0.2706
6.75 0.4894 0.2693
6.80 0.4888 0.2678
6.85 0.4884 0.2662
6.90 0.4881 0.2645
6.95 0.4879 0.2628
7.00 0.4878 0.2611
7.05 0.4879 0.2593
7.10 0.4880 0.2576
7.15 0.4883 0.2560
7.20 0.4887 0.2545
7.25 0.4893 0.2530
7.30 0.4899 0.2518
7.35 0.4907 0.2506
7.40 0.4915 0.2497
7.45 0.4924 0.2490
7.50 0.4934 0.2484
7.55 0.4945 0.2481
7.60 0.4957 0.2479
7.65 0.4968 0.2480
7.70 0.4981 0.2482
7.75 0.4993 0.2485
7.80 0.5005 0.2490
7.85 0.5018 0.2496
7.90 0.5030 0.2502
7.95 0.5042 0.2508
8.00 0.5054 0.2514
8.05 0.5065 0.2520
8.10 0.5076 0.2524
8.15 0.5085 0.2527
8.20 0.5094 0.2529
8.25 0.5103 0.2529
8.30 0.5110 0.2527
8.35 0.5116 0.2523
8.40 0.5121 0.2517
8.45 0.5124 0.2509
8.50 0.5127 0.2499
8.55 0.5128 0.2487
8.60 0.5128 0.2474
8.65 0.5127 0.2460
8.70 0.5124 0.2445
8.75 0.5121 0.2430
8.80 0.5116 0.2414
8.85 0.5110 0.2399
8.90 0.5103 0.2384
8.95 0.5095 0.2369
9.00 0.5086 0.2356
9.05 0.5076 0.2343
9.10 0.5066 0.2332
9.15 0.5054 0.2322
9.20 0.5043 0.2313
9.25 0.5031 0.2305
9.30 0.5018 0.2298
9.35 0.5006 0.2291
9.40 0.4993 0.2285
9.45 0.4981 0.2279
9.50 0.4969 0.2274
9.55 0.4957 0.2268
9.60 0.4946 0.2262
9.65 0.4935 0.2255
9.70 0.4925 0.2248
9.75 0.4915 0.2240
9.80 0.4907 0.2231
9.85 0.4899 0.2222
9.90 0.4893 0.2212
9.95 0.4888 0.2201
