t E_base E_coherist
0.0000 0.49875313 0.49875313
0.0500 0.49752184 0.49746011
0.1000 0.49631844 0.49601855
0.1500 0.49515496 0.49434110
0.2000 0.49404302 0.49235770
0.2500 0.49299375 0.49001694
0.3000 0.49201761 0.48728642
0.3500 0.49112438 0.48415253
0.4000 0.49032297 0.48061949
0.4500 0.48962139 0.47670803
0.5000 0.48902667 0.47245365
0.5500 0.48854473 0.46790461
0.6000 0.48818039 0.46311982
0.6500 0.48793731 0.45816656
0.7000 0.48781790 0.45311821
0.7500 0.48782336 0.44805197
0.8000 0.48795364 0.44304657
0.8500 0.48820743 0.43818014
0.9000 0.48858220 0.43352804
0.9500 0.48907420 0.42916085
1.0000 0.48967851 0.42514248
1.0500 0.49038910 0.42152837
1.1000 0.49119886 0.41836390
1.1500 0.49209970 0.41568291
1.2000 0.49308263 0.41350652
1.2500 0.49413781 0.41184216
1.3000 0.49525469 0.41068291
1.3500 0.49642213 0.41000721
1.4000 0.49762845 0.40977895
1.4500 0.49886159 0.40994803
1.5000 0.50010924 0.41045136
1.5500 0.50135892 0.41121441
1.6000 0.50259814 0.41215328
1.6500 0.50381453 0.41317716
1.7000 0.50499591 0.41419141
1.7500 0.50613050 0.41510082
1.8000 0.50720694 0.41581325
1.8500 0.50821448 0.41624332
1.9000 0.50914306 0.41631600
1.9500 0.50998338 0.41596998
2.0000 0.51072706 0.41516053
2.0500 0.51136666 0.41386172
2.1000 0.51189579 0.41206772
2.1500 0.51230917 0.40979327
2.2000 0.51260265 0.40707293
2.2500 0.51277331 0.40395944
2.3000 0.51281944 0.40052098
2.3500 0.51274058 0.39683767
2.4000 0.51253752 0.39299742
2.4500 0.51221229 0.38909138
2.5000 0.51176814 0.38520934
2.5500 0.51120950 0.38143532
2.6000 0.51054197 0.37784364
2.6500 0.50977220 0.37449566
2.7000 0.50890790 0.37143745
2.7500 0.50795770 0.36869833
2.8000 0.50693110 0.36629048
2.8500 0.50583836 0.36420947
2.9000 0.50469039 0.36243558
2.9500 0.50349868 0.36093590
3.0000 0.50227512 0.35966681
3.0500 0.50103196 0.35857694
3.1000 0.49978160 0.35761012
3.1500 0.49853655 0.35670836
3.2000 0.49730926 0.35581466
3.2500 0.49611197 0.35487552
3.3000 0.49495667 0.35384305
3.3500 0.49385490 0.35267667
3.4000 0.49281766 0.35134438
3.4500 0.49185533 0.34982359
3.5000 0.49097752 0.34810151
3.5500 0.49019300 0.34617514
3.6000 0.48950961 0.34405099
3.6500 0.48893419 0.34174442
3.7000 0.48847248 0.33927882
3.7500 0.48812910 0.33668451
3.8000 0.48790748 0.33399759
3.8500 0.48780984 0.33125860
3.9000 0.48783714 0.32851111
3.9500 0.48798913 0.32580039
4.0000 0.48826427 0.32317189
4.0500 0.48865982 0.32066989
4.1000 0.48917182 0.31833612
4.1500 0.48979517 0.31620848
4.2000 0.49052362 0.31431980
4.2500 0.49134991 0.31269681
4.3000 0.49226576 0.31135915
4.3500 0.49326204 0.31031864
4.4000 0.49432878 0.30957864
4.4500 0.49545532 0.30913373
4.5000 0.49663040 0.30896962
4.5500 0.49784228 0.30906324
4.6000 0.49907885 0.30938323
4.6500 0.50032776 0.30989068
4.7000 0.50157651 0.31054013
4.7500 0.50281263 0.31128093
4.8000 0.50402377 0.31205880
4.8500 0.50519782 0.31281766
4.9000 0.50632305 0.31350157
4.9500 0.50738821 0.31405684
5.0000 0.50838266 0.31443406
5.0500 0.50929647 0.31459014
5.1000 0.51012049 0.31449003
5.1500 0.51084649 0.31410832
5.2000 0.51146723 0.31343026
5.2500 0.51197648 0.31245250
5.3000 0.51236918 0.31118318
5.3500 0.51264138 0.30964152
5.4000 0.51279037 0.30785687
5.4500 0.51281467 0.30586726
5.5000 0.51271402 0.30371752
5.5500 0.51248944 0.30145702
5.6000 0.51214316 0.29913734
5.6500 0.51167866 0.29680972
5.7000 0.51110056 0.29452273
5.7500 0.51041466 0.29232006
5.8000 0.50962780 0.29023869
5.8500 0.50874784 0.28830749
5.9000 0.50778359 0.28654626
5.9500 0.50674468 0.28496535
6.0000 0.50564148 0.28356571
6.0500 0.50448503 0.28233944
6.1000 0.50328689 0.28127075
6.1500 0.50205902 0.28033727
6.2000 0.50081369 0.27951147
6.2500 0.49956337 0.27876242
6.3000 0.49832052 0.27805736
6.3500 0.49709759 0.27736343
6.4000 0.49590679 0.27664919
6.4500 0.49476002 0.27588594
6.5000 0.49366875 0.27504891
6.5500 0.49264387 0.27411819
6.6000 0.49169563 0.27307933
6.6500 0.49083351 0.27192380
6.7000 0.49006612 0.27064911
6.7500 0.48940113 0.26925877
6.8000 0.48884519 0.26776200
6.8500 0.48840386 0.26617324
6.9000 0.48808153 0.26451159
6.9500 0.48788145 0.26280003
7.0000 0.48780559 0.26106460
7.0500 0.48785473 0.25933349
7.1000 0.48802838 0.25763606
7.1500 0.48832478 0.25600188
7.2000 0.48874100 0.25445977
7.2500 0.48927285 0.25303681
7.3000 0.48991504 0.25175747
7.3500 0.49066114 0.25064275
7.4000 0.49150369 0.24970943
7.4500 0.49243428 0.24896944
7.5000 0.49344360 0.24842933
7.5500 0.49452158 0.24808991
7.6000 0.49565742 0.24794604
7.6500 0.49683979 0.24798663
7.7000 0.49805687 0.24819475
7.7500 0.49929649 0.24854805
7.8000 0.50054627 0.24901930
7.8500 0.50179371 0.24957714
7.9000 0.50302635 0.25018702
7.9500 0.50423188 0.25081230
8.0000 0.50539823 0.25141548
8.0500 0.50651376 0.25195945
8.1000 0.50756732 0.25240893
8.1500 0.50854838 0.25273170
8.2000 0.50944713 0.25289989
8.2500 0.51025460 0.25289106
8.3000 0.51096271 0.25268911
8.3500 0.51156438 0.25228494
8.4000 0.51205361 0.25167677
8.4500 0.51242551 0.25087018
8.5000 0.51267635 0.24987782
8.5500 0.51280363 0.24871874
8.6000 0.51280608 0.24741749
8.6500 0.51268367 0.24600291
8.7000 0.51243764 0.24450676
8.7500 0.51207042 0.24296221
8.8000 0.51158571 0.24140235
8.8500 0.51098833 0.23985865
8.9000 0.51028427 0.23835965
8.9500 0.50948055 0.23692976
9.0000 0.50858521 0.23558838
9.0500 0.50760720 0.23434926
9.1000 0.50655629 0.23322021
9.1500 0.50544298 0.23220305
9.2000 0.50427840 0.23129394
9.2500 0.50307419 0.23048390
9.3000 0.50184238 0.22975958
9.3500 0.50059528 0.22910416
9.4000 0.49934536 0.22849841
9.4500 0.49810510 0.22792174
9.5000 0.49688691 0.22735325
9.5500 0.49570296 0.22677280
9.6000 0.49456507 0.22616190
9.6500 0.49348462 0.22550451
9.7000 0.49247242 0.22478771
9.7500 0.49153856 0.22400218
9.8000 0.49069239 0.22314252
9.8500 0.48994237 0.22220742
9.9000 0.48929598 0.22119964
9.9500 0.48875969 0.22012587
